yue	eng
唔準 掂 同 食 醃菜 唔準 坐 梳化 或者 屋企人 嘅 床 上 每次 經期 完 咗 要 洗 床 單 就算 床 單 無 汚 糟 到 他們 認 為 我 唔 純潔 禁止 我 參拜 或者 掂 一啲 聖 物 你 會 發現 寺廟 出面 有牌 路牌 禁止 正在 嚟緊 經期 嘅 婦女 進入	I was not allowed to touch or eat pickles I was not allowed to sit on the sofa or some other family member s bed I had to wash my bed sheet after every period even if it was not stained I was considered impure and forbidden from worshipping or touching any object of religious importance You ll find signposts outside temples denying the entry of menstruating girls and women
佢地 扮 怪 面 嚇 人	They were making scary faces
唔會 搞到 我哋 變得 邪惡 女人型 變成 自由黨 人 咩	turn us into godless sissy liberals
呢個 模式 可以 清晰 令 您 瞭解 佢哋	So it spells those out in very clean terms
幾多 萬 億 掌聲	How many trillions Applause
主持 Frank 頭先 真係 太 美麗 太 感人 啦 你 有無 試過 寄 自己 一張 明信片 呢 你 有無 將 自己 嘅 秘密 擺 喺 PostSecret 上面 呢	June Cohen Frank that was beautiful so touching Have you ever sent yourself a postcard Have you ever sent in a secret to PostSecret
但 從此以後 事情 越嚟越 複雜	But and this of course is where it becomes complicated
紐約	New York
我 無啦啦 記 返 我 爺爺 教 過 我 嘅嘢	I cannot help but remember my grandfather s lesson
當 夏日 同 我哋 一齊 玩 嘅 嗰啲羊 仔	I remember we cried profusely
將 碧咸 張 靚相	it s a great picture of David Beckham
譬如 我 要 飛 12 個鐘	So if I m on a 12 hour flight
投石 於 姦夫 又 或是 再 多 舉 一個 例子	and stoning adulterers or here s another example
我 意思 係 我 好在 乎	I mean I care deeply
Ashley Judd 正一 無知 蕩婦	Ashley Judd stupid fucking slut
人哋 話 你 臭閪 關 你 撚 事 咩	You can t sue someone for calling them a cunt
而 一旦 你 咁 樣 做 你 就 會 搞 清楚	And then once you do that you can figure out
我 想 畀 大家 一個 悖論 諗下	would now like to offer you a paradox
用 環氧樹脂 鋪路	So what we did is we painted over the street
我哋 發現 菲律賓 嘅 HIV 病例 嘅 爆發 係由 於 西部 B 亞種 變異 成 一種 更 強勁 嘅 東南亞 AE 亞種 我哋 發現 更 後生 病情 更 嚴重 嘅 病人 有 更 高 嘅 抗藥性 比率 呢個 亞種 已經 入侵 發達國家 包括 澳洲 加拿大 同 美國 可能 好 快 類似 菲律賓 嘅 HIV 疫情 就 會 喺 呢啲 國家 發生	We discovered that the explosion of HIV cases in the Philippines is due to a shift from the Western subtype B to a more aggressive Southeast Asian subtype AE We are seeing younger and sicker patients with high rates of drug resistance Initial encroachment of this subtype is already occurring in developed countries including Australia Canada and the United States We may soon see a similar explosion of cases in these countries
重點 在於 挑選 正確 的 部分	The key is to pick and choose the right parts
佢地 話 喂 我 個 屋頂 呢	said Hey what about my roof
唔理 係 邉 一個	and it doesn t matter who they are
來 令 保加利亞 變得 更 好	to transform Bulgaria for the better
掃 過 各 篇章 節	and swipe through the chapters
中國 很 快 就 會 超越 美國	China is soon to pass the U S
些微 嘅 環境 轉變	for those with very high risk moderate
所以 我哋 有 更多 理由 去 關注 蜂 群 世界上 有 超過 兩萬 種 蜂 呢樣嘢 絕對 係 了不起 呢啲 蜂 大半 生 喺 地底 或者 中空 嘅 植物 莖部 生活 只有 極少數 好似 蜜蜂 咁 進化 出 高度 嘅 社會 行為	So there s other maybe more personal reasons to care about bees There s over 20 000 species of bees in the world and they re absolutely gorgeous These bees spend the majority of their life cycle hidden in the ground or within a hollow stem and very few of these beautiful species have evolved highly social behavior like honeybees
神經系統 係 點解會 錯 成 咁 樣	How can the nervous system get this so wrong
並無 脫離 自然	and we re not separate from it
只 係 好少 一部分 你 可以 見到 邊個 來 過	And just little bits and pieces and you can see some of the things there
BB 唔會 從 把口 入邊 出來	Babies actually don t come out of your mouth
努 娜 已經 有 將近 十 年 我 無 見到 你 喇 我 只係 想 講 我 好 掛住 你 我 愛 你 你 一定要 嚟 搵 我 一定要 好好 生存 而且 我 我 仍然 冇 放棄 再見 到 你 嘅 希望 喺 我 見到 你 之前 我 都 會 幸福 咁 生活 落去 同埋 努力 讀書 而且 我 保證 我 唔會 再 喊 笑聲 係 嘅 我 只係 希望 能夠 再見 到 你 如果 你 搵唔到 我 我 都 會 去 搵 你 我 希望 有一日 會見 返 你 我 可以 同 我 媽咪 都 講兩句 嗎	Nuna it has been already 10 years that I haven t seen you I just wanted to say that I miss you and I love you and please come back to me and stay alive And I oh gosh I still haven t given up my hope to see you I will live my life happily and study hard until I see you and I promise I will not cry again Laughter Yes I m just looking forward to seeing you and if you can t find me I will also look for you and I hope to see you one day And can I also make a small message to my mom
你 可以 做 所有 呢啲 有趣 嘅事	You can do all those fun things
你 幾時 見過 佢 啊	When did you see him
十戒 愛 你 的 鄰人 多 結果 子 和 生養 眾 多	The Ten Commandments love your neighbor be fruitful and multiply
一段 可以 作 長遠 計劃 嘅時 間	when you can do long term planning
